topic,x,y,topics,cluster,Freq
50,-0.7468468,-2.6663237,1,1,3.51
4,2.8374674,-2.585887,2,1,3.1343160166293593
54,1.4281595,1.8449012,3,1,2.442811876812905
85,0.48861906,-4.6919503,4,1,2.2609584832737464
38,-0.40941092,-1.4712366,5,1,2.25366496548205
9,0.5976227,-3.1406069,6,1,2.157113501504496
13,-2.1844554,-1.3000892,7,1,2.1267253437294125
17,3.4353364,0.47132602,8,1,1.9735105251537677
25,1.3925095,0.76810426,9,1,1.8996691914884987
55,0.5010608,0.39508244,10,1,1.8766728905431096
31,3.5656252,0.1250189,11,1,1.631577252773854
93,-0.3310485,1.382265,12,1,1.5750059509486252
97,0.41193965,-3.6891842,13,1,1.5316065099848024
8,-1.9327332,0.5242891,14,1,1.507115083424355
78,3.6795979,1.1529005,15,1,1.4947635543047542
82,-0.7964592,-3.0254066,16,1,1.4648229000961461
65,-0.066136315,2.8493373,17,1,1.4496910081832473
42,-1.8064378,1.2351528,18,1,1.4190921690645877
5,2.5684307,0.055478074,19,1,1.4062070075518065
61,-3.40592,1.6094054,20,1,1.3880296319144523
95,1.6847974,-1.6902233,21,1,1.3775686996125593
98,-1.3411456,0.6718804,22,1,1.3696871044644217
48,-0.44582117,0.6034916,23,1,1.3670529969085008
34,-1.2885865,0.06934781,24,1,1.3485160978130022
52,1.1251332,0.005305562,25,1,1.3244247400085603
10,0.49321738,-1.8130927,26,1,1.3109115065264663
27,-3.3090148,-2.5692968,27,1,1.3027582379488594
43,-0.4614192,-0.6018654,28,1,1.2890925193277716
59,1.08325,2.2149715,29,1,1.2753288348036913
67,2.1367583,-0.7963673,30,1,1.269795454331131
29,-2.236001,0.97405577,31,1,1.241883333891935
11,-1.1230874,1.1221352,32,1,1.2277700954587278
39,2.2005901,-0.021507153,33,1,1.2106914471414554
19,-1.3165,-3.207084,34,1,1.2049632585722763
33,2.817865,0.64369273,35,1,1.2020924515380778
94,-1.1775634,-1.9696852,36,1,1.1992171412688553
15,-2.338311,0.59610957,37,1,1.1643542558702462
80,-2.6057725,1.2909786,38,1,1.1347761040772648
37,0.65360856,-2.740374,39,1,1.131790991510149
83,-0.027540054,-1.1397626,40,1,1.125805549072731
49,0.88441294,0.9300431,41,1,1.0802475149411657
20,-0.998794,0.57886845,42,1,1.0740811372946255
76,0.95708394,0.48414528,43,1,1.0740811372946255
23,2.5473313,2.859299,44,1,1.036604080470242
45,-3.1525736,-2.160792,45,1,1.027102460122907
63,-0.5364657,3.4423046,46,1,1.0239231299170637
18,-0.3653275,-2.6127734,47,1,1.0175460740325468
88,-2.850072,-3.011667,48,1,0.9820216491588744
68,1.3791062,1.2546895,49,1,0.9456969873153963
14,-1.8719785,-1.3307465,50,1,0.9423531580920528
3,0.3766996,1.872251,51,1,0.9390022067375305
1,-0.27376246,2.4119596,52,1,0.9153422256639872
16,1.8233032,2.4310322,53,1,0.9085154420256403
26,-0.34733233,-3.4684632,54,1,0.9085154420256403
46,1.6910356,0.9409651,55,1,0.8947702368638202
28,-1.2320857,1.7072777,56,1,0.8878509859961452
35,0.32574683,1.1202282,57,1,0.8843795124222014
51,-0.5246371,-0.017199637,58,1,0.8669014625818278
69,1.5942929,-0.13675013,59,1,0.8527707864970994
74,-1.304589,-0.9029658,60,1,0.8420838226279107
41,-3.3467615,-1.7305413,61,1,0.8313187535910807
79,1.1177303,-4.2468314,62,1,0.8313187535910807
96,2.2581034,-2.007831,63,1,0.8240977935559678
99,0.24153793,-0.94823325,64,1,0.7948482860152117
100,1.9272158,1.3736422,65,1,0.7837238117327612
22,3.470237,-0.35251832,66,1,0.753621633291253
47,0.080359906,0.34026316,67,1,0.753621633291253
62,0.041223016,-2.1767838,68,1,0.7267348340557193
72,3.1302824,1.417718,69,1,0.7267348340557193
58,2.1615365,0.68249977,70,1,0.6913630110505936
56,-1.9949393,2.012892,71,1,0.6793602235447254
64,1.0189198,-4.9623194,72,1,0.6793602235447254
73,2.4795718,1.172021,73,1,0.6793602235447254
77,1.674899,0.41170913,74,1,0.6672464632792972
30,-2.710051,-0.1382904,75,1,0.6631833447685551
90,0.8327799,1.5325805,76,1,0.6343762374278447
81,2.4465492,1.879352,77,1,0.6176166503836867
86,0.92575073,-1.2786406,78,1,0.6133914830480621
57,-2.021695,0.025596295,79,1,0.6091519197871893
91,0.6896922,-2.081281,80,1,0.6091519197871893
71,2.9832582,-0.29452646,81,1,0.579059115237016
36,-2.938949,-2.491763,82,1,0.5746988277877902
2,0.59689546,2.8965127,83,1,0.5659305983692278
87,-0.3482054,-3.932327,84,1,0.5659305983692278
32,0.71579343,-4.3929725,85,1,0.5615223059872524
44,3.4221175,2.3044207,86,1,0.5526564653657077
66,2.7562084,-1.8213651,87,1,0.5437237098914528
75,2.4069319,-2.4394832,88,1,0.5437237098914528
84,0.2641066,-5.0,89,1,0.5072918536833366
70,-3.0257385,0.5719471,90,1,0.49800019971672027
40,-0.6715061,-1.6863209,91,1,0.4886314326216731
7,1.9294719,3.4876883,92,1,0.4503448966759963
21,3.7799752,-0.79819983,93,1,0.4503448966759963
24,0.5322958,-0.2677341,94,1,0.3850566740269564
6,-3.3393526,2.178894,95,1,0.369385193915806
60,-3.649045,2.1879904,96,1,0.3587996905900962
12,-0.23548032,3.1580272,97,1,0.25787485456781317
53,1.9957216,-2.7920957,98,1,0.2399176182184183
89,1.2185749,-0.55681896,99,1,0.19650320664212695
92,-2.3989155,-2.4432983,100,1,0.01
